Timestamp,How many Facebook friends do you have?,,,,,
1/2/2013 16:59:06,0,584.74,341920.8676,,,
1/2/2013 15:20:50,69,515.74,265987.7476,,,
1/2/2013 16:16:51,123,461.74,213203.8276,,,
1/2/2013 18:14:04,137,447.74,200471.1076,,,
1/2/2013 20:04:27,174,410.74,168707.3476,,,
1/2/2013 16:59:09,240,344.74,118845.6676,,,
1/2/2013 15:19:48,241,343.74,118157.1876,,,
1/2/2013 16:35:58,256,328.74,108069.9876,,,
1/2/2013 16:28:28,258,326.74,106759.0276,,,
1/2/2013 23:18:28,322,262.74,69032.3076,,,
1/2/2013 16:17:02,366,218.74,47847.1876,,,
1/2/2013 16:30:23,376,208.74,43572.3876,,,
1/2/2013 15:26:34,408,176.74,31237.0276,,,
1/2/2013 17:56:35,479,105.74,11180.9476,,,
1/2/2013 15:56:00,555,29.74,884.4676,,,
1/2/2013 15:19:35,589,-4.26,18.1476,,,
1/3/2013 10:20:51,600,-15.26,232.8676,,,
1/2/2013 15:39:28,777,-192.26,36963.9076,,,
1/2/2013 15:21:24,784,-199.26,39704.5476,,,
1/2/2013 15:46:07,822,-237.26,56292.3076,,,
1/2/2013 16:53:47,850,-265.26,70362.8676,,,
1/2/2013 16:23:35,863,-278.26,77428.6276,,1014,
1/2/2013 15:20:15,1116,-531.26,282237.1876,,155,
1/2/2013 16:24:46,1143,-558.26,311654.2276,,198313.96,445.3245558
1/2/2013 15:21:11,1214,-629.26,395968.1476,,,
1/7/2013 18:15:32,1250,-665.26,442570.8676,,,
1/2/2013 15:26:57,1776,-1191.26,1419100.388,,,
,,,,,,
,,,184385,sqrt,,
,,,,,,
,,,429.4007452,,,